run,product_a_id,product_a_name,product_b_id,product_b_name,confidence
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",361,Vertical9 Long Backup Bluetooth Bluetooth Headphone Over Ear 6 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Multicolor,57.76
2026-08-17T16:10:16Z,156,"Bose Wireless Quietcomfort Headphones With Up to 24 Hours of Battery Life, Noise Cancellation (White Smoke)",362,Neo N888 EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,59.03
2026-08-17T16:10:16Z,157,Sony WF-C510 TWS Bluetooth Earbuds | 22Hrs Battery | Ambient Mode | IPX4 | in-Ear with Mic (Yellow),351,M19 Bluetooth 5.1 Earbuds in-Ear TWS Stereo Headphones with Smart LED,64.71
2026-08-17T16:10:16Z,157,Sony WF-C510 TWS Bluetooth Earbuds | 22Hrs Battery | Ambient Mode | IPX4 | in-Ear with Mic (Yellow),364,"TWS Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300",59.15
2026-08-17T16:10:16Z,158,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Grey),348,Neo BT 700 Bluetooth True Wireless (TWS) On Ear 5 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,57.8
2026-08-17T16:10:16Z,158,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Grey),359,"COREGENIX JS270 Bluetooth True Wireless (TWS) On Ear 30 Hours Playback Low Latency,Powerfull bass IPX5(Splash & Sweat Proof) White",57.66
2026-08-17T16:10:16Z,158,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Grey),362,Neo N888 EARBUDS Bluetooth True Wireless (TWS) On Ear 4 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Blue,64.34
2026-08-17T16:10:16Z,158,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Grey),364,"TWS Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300",68.42
2026-08-17T16:10:16Z,158,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Grey),365,"COREGENIX BQ40 Bluetooth True Wireless (TWS) In Ear 30 Hours Playback Magnetic earpeice,Low Latency IPX4(Splash & Sweat Proof) Black",58.04
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),348,Neo BT 700 Bluetooth True Wireless (TWS) On Ear 5 Hours Playback Active Noise cancellation IPX4(Splash & Sweat Proof) Assorted,58.45
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),358,Neo SH 12 On Ear Bluetooth Headphone 8 Hours Playback IPX4(Splash & Sweat Proof) Active Noise cancellation -Bluetooth Black,55.07
2026-08-17T16:10:16Z,159,Zebronics Pods B11 True Wireless Earbuds | Bluetooth v6.0 | 13mm Drivers | Up to 27 Hours Playback (Black),359,"COREGENIX JS270 Bluetooth True Wireless (TWS) On Ear 30 Hours Playback Low Latency,Powerfull bass IPX5(Splash & Sweat Proof) White",56.5
